RMU_NAME,ADMS_GSS-FID,Y1,Y2,Y3,Y4,Q1,Q2,TYPE,NET_DESCRIPTION1,port
8664,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,,
8723,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
9406,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,,
10689,JED-NTH-ABH-AH308,1,1,1,0,1,0,3L1T,172.20.53.132,2404
13314,JED-NTH-ABH-AH311,1,1,0,0,1,0,2L1T,,
15134,JED-NTH-ABH-AH308,1,1,0,0,1,0,2L1T,,
15953,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,172.16.26.202,2404
16151,JED-NTH-ABH-AH311,1,1,0,0,1,0,2L1T,172.20.31.239,2404
16781,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,172.20.59.85,2404
16782,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,,
16934,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,172.20.52.209,2404
17223,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,172.20.29.52,2404
17224,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
17225,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
17226,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
17228,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,172.20.42.202,2404
17229,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
17230,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,172.20.42.173,2404
17231,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
17232,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
17233,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,172.20.42.240,2404
17234,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
17235,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
17417,JED-NTH-ABH-AH308,1,1,0,0,1,0,2L1T,,
17483,JED-NTH-ABH-AH306,1,1,1,0,1,0,3L1T,172.20.54.148,2404
17671,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,,
17756,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,,
18585,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,172.16.26.57,2404
18944,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,,
19019,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
19020,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
19670,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,172.20.6.155,2404
19917,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
20134,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,,
20574,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
20843,JED-NTH-ABH-AH308,1,1,0,0,1,0,2L1T,,
21198,JED-NTH-ABH-AH311,1,1,1,0,1,0,3L1T,172.20.53.85,2404
21453,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
22333,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
22472,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,172.20.7.100,2404
22521,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,,
22522,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,172.20.59.78,2404
22545,JED-NTH-ABH-AH303,1,1,1,0,1,0,3L1T,,2404
22655,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
22840,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,172.20.29.159,2404
24481,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,172.20.7.115,2404
24521,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,,
24674,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,172.20.51.239,2404
24675,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,172.20.26.58,2404
