G文件,环网柜序号,矩形框XML ID,环网柜名称,环网柜类型,类型识别来源,图内文字类型,devref类型,类型交叉校验,柜型校验状态,柜型交叉校验说明,是否智能,智能标识,状态,说明,数据库记录数,数据库是否唯一,环网柜ID,G图设备数,数据库唯一匹配设备数,环网柜设备是否完整,已正确关联设备数,未关联设备数,关联错误设备数,RMU可关联,RMU级关联阻断原因,设备级阻断原因,G图元匹配问题,数据库匹配问题
JED-NTH-ABH.sln.pic.g,1,2000084,33404,3L1T,TEXT_YQ,3L1T,3L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625960,9,9,YES,9,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,2,2000046,33388,3L1T,TEXT_YQ,3L1T,3L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578497,9,9,YES,9,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,3,2000628,33416,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578505,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,4,2000334,33415,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMR,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625963,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,5,2000040,24704,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMR,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625910,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,6,2000087,17483,3L1T,TEXT_YQ,3L1T,3L1T,YES,PASS,,SMART,SMR,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625899,9,9,YES,9,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,7,2000118,21198,3L1T,TEXT_YQ,3L1T,3L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625902,9,9,YES,9,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,8,2000047,22545,3L1T,TEXT_YQ,3L1T,3L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625905,9,9,YES,9,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,9,2000632,40461,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625986,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,10,2000578,34661,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,"SMART, SMR",PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625968,7,7,YES,7,0,0,YES,,,,
