RMU_NO,ZENON_GSS-FID,ZENON_signal_name,ZENON_DOT_NO,ADMS_GSS-FID,ADMS_signal_name,ADMS_DOT_NO
10689,JED-NTH-ABN-30,10689_Y1-31241_CMD,1,JED-NTH ABH AH308,10689 Y1 CMD,1
10689,JED-NTH-ABN-30,10689_Y2-22516_CMD,5,JED-NTH ABH AH308,10689 Y2 CMD,5
10689,JED-NTH-ABN-30,10689_TR1_CMD,9,JED-NTH ABH AH308,10689 Q1 CMD,9
10689,JED-NTH-ABN-30,10689_Y3-08ABH_CMD,13,JED-NTH ABH AH308,10689 Y3 CMD,13
10689,JED-NTH-ABN-30,10689_Y1-31241_ST_LOCK,1000,JED-NTH ABH AH308,10689 Y1/Lock/Unlock indication value,1000
10689,JED-NTH-ABN-30,10689_Y1-31241_ST_GND,1001,JED-NTH ABH AH308,10689 KY1 state,1001
10689,JED-NTH-ABN-30,10689_TR1_ST_LOCK,1002,JED-NTH ABH AH308,10689 Y2/Lock/Unlock indication value,1002
10689,JED-NTH-ABN-30,10689_Y2-22516_ST_GND,1003,JED-NTH ABH AH308,10689 KY2 state,1003
10689,JED-NTH-ABN-30,10689_Y2-22516_ST_LOCK,1004,JED-NTH ABH AH308,10689 Q1/Lock/Unlock indication value,1004
10689,JED-NTH-ABN-30,10689_TR1_ST_GND,1005,JED-NTH ABH AH308,10689 KQ1 state,1005
10689,JED-NTH-ABN-30,10689_Y3-08ABH_ST_LOCK,1006,JED-NTH ABH AH308,10689 Y3/Lock/Unlock indication value,1006
10689,JED-NTH-ABN-30,10689_Y3-08ABH_ST_GND,1007,JED-NTH ABH AH308,10689 KY3 state,1007
10689,JED-NTH-ABN-30,10689_BATT_LOW,1008,JED-NTH ABH AH308,10689 Battery low value,1008
10689,JED-NTH-ABN-30,10689_GAS_LOW,1009,JED-NTH ABH AH308,10689 Gas low value,1009
10689,JED-NTH-ABN-30,10689_AC_FAIL,1010,JED-NTH ABH AH308,10689 AC power fail value,1010
10689,JED-NTH-ABN-30,10689_DOOR_OPENED,1011,JED-NTH ABH AH308,10689 Door open value,1011
10689,JED-NTH-ABN-30,10689_DC_ST,1012,JED-NTH ABH AH308,10689 DC power fail value,1012
10689,JED-NTH-ABN-30,10689_MOTOR_CRT_FAIL,1013,JED-NTH ABH AH308,10689 Motor circuit fail value,1013
10689,JED-NTH-ABN-30,10689_RTU_FAIL,1277,JED-NTH ABH AH308,10689 RTU Self diagnostic value,1277
10689,JED-NTH-ABN-30,10689_EFI,1278,JED-NTH ABH AH308,10689 EFI (Fault indication) value,1278
10689,JED-NTH-ABN-30,10689_PROT_HEALTH,1279,JED-NTH ABH AH308,10689 Protection Health value,1279
10689,JED-NTH-ABN-30,10689_PROT_TRIP_EFI,1280,JED-NTH ABH AH308,10689 Protection Trip (Earth fault) value,1280
10689,JED-NTH-ABN-30,10689_PROT_TRIP_PH_FLT,1281,JED-NTH ABH AH308,10689 Protection Trip (Phase fault) value,1281
10689,JED-NTH-ABN-30,10689_Y1-31241_ST,11000,JED-NTH ABH AH308,10689 Y1 state,11000
10689,JED-NTH-ABN-30,10689_Y2-22516_ST,11001,JED-NTH ABH AH308,10689 Y2 state,11001
10689,JED-NTH-ABN-30,10689_TR1_ST,11002,JED-NTH ABH AH308,10689 Q1 state,11002
10689,JED-NTH-ABN-30,10689_Y3-08ABH_ST,11003,JED-NTH ABH AH308,10689 Y3 state,11003
10689,JED-NTH-ABN-30,10689_LR,11004,JED-NTH ABH AH308,10689 Remote/Local value,11004
10689,JED-NTH-ABN-30,10689_Y1-31241_AMP_A,13015,JED-NTH ABH AH308,10689 Y1 i_a_value(A),13015
10689,JED-NTH-ABN-30,10689_Y1-31241_AMP_B,13016,JED-NTH ABH AH308,10689 Y1 i_b_value(A),13016
10689,JED-NTH-ABN-30,10689_Y1-31241_AMP_C,13017,JED-NTH ABH AH308,10689 Y1 i_c_value(A),13017
10689,JED-NTH-ABN-30,10689_Y1-31241_AMP_N,13018,JED-NTH ABH AH308,10689 Y1 i_n_value(A),13018
10689,JED-NTH-ABN-30,10689_TR1_AMP_A,13019,JED-NTH ABH AH308,10689 Y2 i_a_value(A),13019
10689,JED-NTH-ABN-30,10689_TR1_AMP_B,13020,JED-NTH ABH AH308,10689 Y2 i_b_value(A),13020
10689,,,,JED-NTH ABH AH308,10689 Y2 i_c_value(A),13021
10689,JED-NTH-ABN-30,10689_TR1_AMP_N,13022,JED-NTH ABH AH308,10689 Y2 i_n_value(A),13022
10689,JED-NTH-ABN-30,10689_Y2-22516_AMP_A,13023,JED-NTH ABH AH308,10689 Q1 i_a_value(A),13023
10689,JED-NTH-ABN-30,10689_Y2-22516_AMP_B,13024,JED-NTH ABH AH308,10689 Q1 i_b_value(A),13024
10689,JED-NTH-ABN-30,10689_TR1_AMP_C,13025,JED-NTH ABH AH308,10689 Q1 i_c_value(A),13025
10689,JED-NTH-ABN-30,10689_Y2-22516_AMP_C,13025,,,
10689,JED-NTH-ABN-30,10689_Y2-22516_AMP_N,13026,JED-NTH ABH AH308,10689 Q1 i_n_value(A),13026
10689,JED-NTH-ABN-30,10689_Y3-08ABH_AMP_A,13027,JED-NTH ABH AH308,10689 Y3 i_a_value(A),13027
10689,JED-NTH-ABN-30,10689_Y3-08ABH_AMP_B,13028,JED-NTH ABH AH308,10689 Y3 i_b_value(A),13028
10689,JED-NTH-ABN-30,10689_Y3-08ABH_AMP_C,13029,JED-NTH ABH AH308,10689 Y3 i_c_value(A),13029
10689,JED-NTH-ABN-30,10689_Y3-08ABH_AMP_N,13030,JED-NTH ABH AH308,10689 Y3 i_n_value(A),13030
10689,JED-NTH-ABN-30,10689_Y1-31241_KVA,13057,JED-NTH ABH AH308,10689 Y1 S(kVA),13057
10689,JED-NTH-ABN-30,10689_Y1-31241_KVAR,13057,,,
10689,JED-NTH-ABN-30,10689_Y1-31241_KW,13058,JED-NTH ABH AH308,10689 Y1 P(kW),13058
10689,,,,JED-NTH ABH AH308,10689 Y1 Q(kVar),13059
10689,,,,JED-NTH ABH AH308,10689 Y2 S(kVA),13060
10689,,,,JED-NTH ABH AH308,10689 Y2 P(kW),13061
10689,,,,JED-NTH ABH AH308,10689 Y2 Q(kVar),13062
10689,JED-NTH-ABN-30,10689_TR1_VOLT_A,13063,JED-NTH ABH AH308,10689 Q1 u_ab_value(kV),13063
10689,JED-NTH-ABN-30,10689_TR1_VOLT_B,13064,JED-NTH ABH AH308,10689 Q1 u_bc_value(kV),13064
10689,JED-NTH-ABN-30,10689_TR1_KW,13065,JED-NTH ABH AH308,10689 Q1 u_ca_value(kV),13065
10689,JED-NTH-ABN-30,10689_TR1_VOLT_C,13065,,,
10689,JED-NTH-ABN-30,10689_TR1_KVA,13066,JED-NTH ABH AH308,10689 Q1 u_n_value(kV),13066
10689,JED-NTH-ABN-30,10689_TR1_KVAR,13066,,,
10689,JED-NTH-ABN-30,10689_TR1_VOLT_N,13066,,,
10689,,,,JED-NTH ABH AH308,10689 Q1 S(kVA),13067
10689,JED-NTH-ABN-30,10689_Y2-22516_KVA,13068,JED-NTH ABH AH308,10689 Q1 P(kW),13068
10689,JED-NTH-ABN-30,10689_Y2-22516_KVAR,13068,,,
