RMU,FEEDER,BRAND,DEVICE,NOP,SMART,VIP,Function Location,PRIMARY_IP,PRIMARY_PORT,LINK_ADDRESS,LINK_ADDRESS_SIZE,COT_SIZE,COA_SIZE,IOA_SIZE,T1,T2,T3,K_VALUE,W_VALUE,NET_ADDRESS
8664,,,,,,,,,,,,,,,,,,,,
8723,,,,,,,,,,,,,,,,,,,,
9406,,,,,,,,,,,,,,,,,,,,
10689,ABN-30,META,3L1T,NOP,SMART,,4200-JNS-010689,172.20.53.132,2404,1,1,2,2,3,15000,10000,20000,12,8,48
13314,,,,,,,,,,,,,,,,,,,,
15134,,,,,,,,,,,,,,,,,,,,
15953,ABN-29,FANAR,2L1T,,SMART,,4200-JNS-015953,172.16.26.202,2404,1,1,2,2,3,15000,10000,20000,12,8,9
16151,NAH-55,,,,,,4200-JNS-016151,172.20.31.239,2404,1,1,2,2,3,15000,10000,20000,12,8,13
16781,DHN-40,FANAR,2L1T,,SMART,,4200-JNS-016781,172.20.59.85,2404,1,1,2,2,3,15000,10000,20000,12,8,11
16782,,,,,,,,,,,,,,,,,,,,
16934,ABN-29,FANAR,2L1T,,SMART,,4200-JNS-016934,172.20.52.209,2404,1,1,2,2,3,15000,10000,20000,12,8,45
17223,HHR2-48A,,,,,,4200-JNS-017223,172.20.29.52,2404,1,1,2,2,3,15000,10000,20000,12,8,9
17224,,,,,,,,,,,,,,,,,,,,
17225,,,,,,,,,,,,,,,,,,,,
17226,,,,,,,,,,,,,,,,,,,,
17228,MDNAS-45,FANAR,2L1T,,SMART,,4200-JNS-017228,172.20.42.202,2404,1,1,2,2,3,15000,10000,20000,12,8,2
17229,,,,,,,,,,,,,,,,,,,,
17230,MDNAS-45,FANAR,2L1T,,SMART,,4200-JNS-017230,172.20.42.173,2404,1,1,2,2,3,15000,10000,20000,12,8,18
17231,,,,,,,,,,,,,,,,,,,,
17232,,,,,,,,,,,,,,,,,,,,
17233,MDNAS-45,FANAR,2L1T,,SMART,,4200-JNS-017233,172.20.42.240,2404,1,1,2,2,3,15000,10000,20000,12,8,12
17234,,,,,,,,,,,,,,,,,,,,
17235,,,,,,,,,,,,,,,,,,,,
17417,,,,,,,,,,,,,,,,,,,,
17483,ABN-29,META,3L1T,,SMART,,4200-JNS-017483,172.20.54.148,2404,1,1,2,2,3,15000,10000,20000,12,8,13
17671,,,,,,,,,,,,,,,,,,,,
17756,,,,,,,,,,,,,,,,,,,,
18585,HHR2-45,FANAR,3L1T,,SMART,,4200-JNS-018585,172.16.26.57,2404,1,1,2,2,3,15000,10000,20000,12,8,42
18944,,,,,,,,,,,,,,,,,,,,
19019,,,,,,,,,,,,,,,,,,,,
19020,,,,,,,,,,,,,,,,,,,,
19670,ABN-29,SCHNEIDER,2L1T,,SMART,,4200-JNS-019670,172.20.6.155,2404,1,1,2,2,3,15000,10000,20000,12,8,8
19917,,,,,,,,,,,,,,,,,,,,
20134,,,,,,,,,,,,,,,,,,,,
20574,,,,,,,,,,,,,,,,,,,,
20843,,,,,,,,,,,,,,,,,,,,
21198,NAH-55,META,3L1T,,SMART,,4200-JNS-021198,172.20.53.85,2404,1,1,2,2,3,15000,10000,20000,12,8,1
21453,,,,,,,,,,,,,,,,,,,,
22333,,,,,,,,,,,,,,,,,,,,
22472,JUAS-23,FANAR,2L1T,,SMART,,4200-JNS-022472,172.20.7.100,2404,1,1,2,2,3,15000,10000,20000,12,8,40
22521,,,,,,,,,,,,,,,,,,,,
22522,DHN-40,FANAR,2L1T,,SMART,,4200-JNS-022522,172.20.59.78,2404,1,1,2,2,3,15000,10000,20000,12,8,36
22545,,,,,,,,,,,,,,,,,,,,
22655,,,,,,,,,,,,,,,,,,,,
22840,ABN-29,,,,,,4200-JNS-022840,172.20.29.159,2404,1,1,2,2,3,15000,10000,20000,12,8,21
24481,FRDS-48,FANAR,2L2T,,SMART,,4200-JNS-024481,172.20.7.115,2404,1,1,2,2,3,15000,10000,20000,12,8,21
24521,,,,,,,,,,,,,,,,,,,,
24674,MDNAS-45,FANAR,2L1T,,SMART,,4200-JNS-024674,172.20.51.239,2404,1,1,2,2,3,15000,10000,20000,12,8,4
24675,MDNAS-45,,,,,,4200-JNS-024675,172.20.26.58,2404,1,1,2,2,3,15000,10000,20000,12,8,39
24704,FRDS-45,FANAR,2L1T,,SMART,,4200-JNS-024704,172.20.51.238,2404,1,1,2,2,3,15000,10000,20000,12,8,1
24897,MDNAS-45,LUCY,3L1T,NOP,SMART,,4200-JNS-024897,172.168.6.76,2404,1,1,2,2,3,15000,10000,20000,12,8,3
24898,,,,,,,,,,,,,,,,,,,,
25178,FRDS-44,LUCY,3L1T,NOP,SMART,,4200-JNS-025178,172.20.52.38,2404,1,1,2,2,3,15000,10000,20000,12,8,15
25185,,,,,,,,,,,,,,,,,,,,
25257,,,,,,,,,,,,,,,,,,,,
25308,,,,,,,,,,,,,,,,,,,,
25683,NAH-55,,,,,,4200-JNS-025683,172.20.32.151,2404,1,1,2,2,3,15000,10000,20000,12,8,4
25879,,,,,,,,,,,,,,,,,,,,
25925,,,,,,,,,,,,,,,,,,,,
26337,FRDS-10,FANAR,3L1T,NOP,SMART,,4200-JNS-026337,172.20.4.183,2404,1,1,2,2,3,15000,10000,20000,12,8,32
26352,JUAS-23,UTEC,2L2T,,SMART,,4200-JNS-026352,172.168.5.249,2404,1,1,2,2,3,15000,10000,20000,12,8,25
26370,,,,,,,,,,,,,,,,,,,,
26371,FRDS-48,,,,,,4200-JNS-026371,172.20.23.17,2404,1,1,2,2,3,15000,10000,20000,12,8,19
26557,,,,,,,,,,,,,,,,,,,,
26570,,,,,,,,,,,,,,,,,,,,
26590,,,,,,,,,,,,,,,,,,,,
26600,ABN-29,,,,,,4200-JNS-026600,172.20.25.121,2404,1,1,2,2,3,15000,10000,20000,12,8,19
26727,FRSH-39,LUCY,3L1T,,SMART,,4200-JNS-026727,172.20.60.110,2404,1,1,2,2,3,15000,10000,20000,12,8,37
26746,,,,,,,,,,,,,,,,,,,,
26766,,,,,,,,,,,,,,,,,,,,
26772,ABN-29,FANAR,2L1T,,SMART,,4200-JNS-026772,172.20.6.30,2404,1,1,2,2,3,15000,10000,20000,12,8,6
26802,FRDS-48,FANAR,2L2T,,SMART,,4200-JNS-026802,172.20.10.224,2404,1,1,2,2,3,15000,10000,20000,12,8,40
26833,,,,,,,,,,,,,,,,,,,,
26877,FRDS-48,FANAR,2L1T,,SMART,,4200-JNS-026877,172.20.52.181,2404,1,1,2,2,3,15000,10000,20000,12,8,2
27163,,,,,,,,,,,,,,,,,,,,
27545,,,,,,,,,,,,,,,,,,,,
27546,,,,,,,,,,,,,,,,,,,,
27547,JUAS-23,,,,,,4200-JNS-027547,172.20.31.195,2404,1,1,2,2,3,15000,10000,20000,12,8,23
27548,,,,,,,,,,,,,,,,,,,,
27788,,,,,,,,,,,,,,,,,,,,
27873,,,,,,,,,,,,,,,,,,,,
28058,,,,,,,,,,,,,,,,,,,,
28920,FRSH-39,LUCY,2L1T,,SMART,,4200-JNS-028920,172.20.50.120,2404,1,1,2,2,3,15000,10000,20000,12,8,44
29245,,,,,,,,,,,,,,,,,,,,
29471,FRDS-44,META,3L1T,NOP,SMART,,4200-JNS-029471,172.20.10.131,2404,1,1,2,2,3,15000,10000,20000,12,8,24
29719,,,,,,,,,,,,,,,,,,,,
29776,,,,,,,,,,,,,,,,,,,,
29796,,,,,,,,,,,,,,,,,,,,
29797,,,,,,,,,,,,,,,,,,,,
29798,,,,,,,,,,,,,,,,,,,,
29799,FRDS-44,META,2L2T,,SMART,,4200-JNS-029799,172.20.37.197,2404,1,1,2,2,3,15000,10000,20000,12,8,14
29800,,,,,,,,,,,,,,,,,,,,
29801,,,,,,,,,,,,,,,,,,,,
