No.,XMLFile,CabinetType,Feeder,RMU,LinkName,SubstituteDestination,DuplicateCount,Warning
1,JEDDAH-ABH.XML,3L1T,JED-JED-ABN2-18,33362,02_VERT_SRMU_3L1T_01,JED-JED-ABN2-18-33362,1,
2,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,8664,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-8664,1,
3,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,9406,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-9406,1,
4,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,16781,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-16781,1,
5,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,16782,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-16782,1,
6,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,17671,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-17671,1,
7,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,20134,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-20134,1,
8,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,22521,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-22521,1,
9,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,22522,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-22522,1,
10,JEDDAH-ABH.XML,3L1T,JED-NTH-ABH-03,22545,12_VERT_RMU_3L1T_02,JED-NTH-ABH-03-22545,1,
11,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,27163,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-27163,1,
12,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,29719,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-29719,1,
13,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,34002,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-34002,1,
14,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,34661,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-34661,1,
15,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,40597,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-40597,1,
16,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,43109,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-43109,1,
17,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,43443,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-43443,1,
18,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-03,44294,11_VERT_RMU_2L1T_01,JED-NTH-ABH-03-44294,1,
19,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,8723,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-8723,1,
20,JEDDAH-ABH.XML,3L1T,JED-NTH-ABH-06,17483,12_VERT_RMU_3L1T_02,JED-NTH-ABH-06-17483,1,
21,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,19017,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-19017,1,
22,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,19019,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-19019,1,
23,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,19020,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-19020,1,
24,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,20574,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-20574,1,
25,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,22333,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-22333,1,
26,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,25925,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-25925,1,
27,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,26746,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-26746,1,
28,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,34116,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-34116,1,
29,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,38111,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-38111,1,
30,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,38222,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-38222,1,
31,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,39786,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-39786,1,
32,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,39967,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-39967,1,
33,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,40227,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-40227,1,
34,JEDDAH-ABH.XML,2L1T,JED-NTH-ABH-06,40228,11_VERT_RMU_2L1T_01,JED-NTH-ABH-06-40228,1,
